address,city,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,value,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
10265 Quail St,Westminster,80021,3,2,1437,2582.0,39.8823,-105.1249,Jefferson County R-1 School District,481565.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
10433 Holland Pl,Westminster,80021,3,2,1144,2199.0,39.8825,-105.10441,Jefferson County R-1 School District,452333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
10545 Hoyt St,Westminster,80021,3,2,1296,2351.0,39.8882,-105.10326,Jefferson County R-1 School District,490234.95,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
11348 Lamar St,Westminster,80020,3,3,1820,2640.0,39.902,-105.066,Jefferson County R-1 School District,406666.67,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,0,1,0
5798 W 110th Ave,Westminster,80020,4,2,1975,2650.0,39.897,-105.061,Jefferson County R-1 School District,508333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,1,0,1,0,0
6324 W 92nd Pl,Westminster,80031,4,2,1920,2760.0,39.864,-105.067,Jefferson County R-1 School District,404833.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,1,0,1,0,0
8945 Field St #64,Westminster,80021,2,2,1340,2095.0,39.85907,-105.09907,Jefferson County R-1 School District,301333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,0,0,1,0,0
9174 Lander St,Westminster,80031,3,2,1850,2595.0,39.86244,-105.03037,Westminster 50 School District,408000.0,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
8141 Stuart St,Westminster,80031,3,2,1802,2497.0,39.84399,-105.04689,Westminster 50 School District,423333.33,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
8011 Stuart Pl,Westminster,80031,3,2,1920,2550.0,39.84268,-105.04667,Westminster 50 School District,396666.67,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
10744 Moore Cir,Westminster,80021,3,2,1632,2475.0,39.89202,-105.11254,Jefferson County R-1 School District,423000.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
9200 Newton St,Westminster,80031,3,2,2262,2745.0,39.86451,-105.03621,Westminster 50 School District,440114.75,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
6424 W 115th Ave,Westminster,80020,3,2,1344,2199.0,39.90394,-105.06804,Jefferson County R-1 School District,448300.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
13474 Raritan Way,Westminster,80234,3,2,1725,2751.0,39.93982,-105.00973,Adams 12 Five Star Schools,505000.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,76142.0,1,0,0,1,0,0
10820 Utica Ct,Westminster,80031,3,2,1509,2550.0,39.89445,-105.04502,Adams 12 Five Star Schools,480000.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,76142.0,1,0,0,1,0,0
13561 Vallejo St,Westminster,80234,3,2,1407,2325.0,39.94125,-105.01434,Adams 12 Five Star Schools,486666.67,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,76142.0,1,0,0,1,0,0
8956 W 88th Pl,Westminster,80021,3,2,1325,2300.0,39.85753,-105.09709,Jefferson County R-1 School District,346633.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
9131 Judson St,Westminster,80031,4,2,1800,2605.0,39.86246,-105.02907,Westminster 50 School District,426633.33,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,0,1,0,1,0,0
9434 Brentwood St,Westminster,80021,3,2,1915,2615.0,39.87,-105.09,Jefferson County R-1 School District,548333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
9731 W 104th Dr,Westminster,80021,3,2,1144,2345.0,39.884,-105.107,Jefferson County R-1 School District,396666.67,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
7025 Zenobia St,Westminster,80030,4,2,1904,2831.0,39.82508,-105.05287,Westminster 50 School District,461624.33,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,0,1,0,1,0,0
11062 Wolff Way,Westminster,80031,3,3,2142,2845.0,39.8973,-105.04747,Adams 12 Five Star Schools,567055.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,76142.0,1,0,0,0,1,0
8955 Cody Ct,Westminster,80021,4,2,1584,2522.0,39.86043,-105.09449,Jefferson County R-1 School District,411760.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,1,0,1,0,0
10627 Kittredge St,Commerce City,80022,3,3,1993,2939.0,39.88982,-104.80151,Brighton 27J School District,503300.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,77065.0,1,0,0,0,1,0
11375 Nome St,Commerce City,80640,4,2,2087,2595.0,39.90208,-104.85186,Brighton 27J School District,495000.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,77065.0,0,1,0,1,0,0
11620 Oakland Dr,Commerce City,80640,3,2,1420,2300.0,39.90825,-104.84968,Brighton 27J School District,376666.67,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,77065.0,1,0,0,1,0,0
10705 Clermont St,Thornton,80233,3,2,1544,2529.0,39.89058,-104.93351,Adams 12 Five Star Schools,418283.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,1,0,0
10874 Fairfax Way,Thornton,80233,4,2,1904,2599.0,39.89348,-104.92838,Adams 12 Five Star Schools,431633.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,1,0,0
10944 Bellaire Way,Thornton,80233,4,2,1800,2485.0,39.89548,-104.93625,Adams 12 Five Star Schools,428333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,1,0,0
11111 Dahlia Way,Thornton,80233,3,2,1320,2300.0,39.89845,-104.92869,Adams 12 Five Star Schools,429149.45,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,1,0,0
12823 Cherry Way,Thornton,80241,4,3,2484,2775.0,39.92966,-104.93441,Adams 12 Five Star Schools,443000.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,0,1,0
13368 Birch Cir,Thornton,80241,3,2,1270,2250.0,39.93781,-104.93588,Adams 12 Five Star Schools,451935.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,1,0,0
1751 E 96th Pl,Thornton,80229,3,3,1510,2485.0,39.87218,-104.96618,Mapleton 1 School District,405445.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,1,0,0,0,1,0
2676 E 117th Way,Thornton,80233,4,2,2142,2782.0,39.90905,-104.95226,Adams 12 Five Star Schools,468333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,1,0,0
5225 E 123rd Ave,Thornton,80241,5,2,1792,2685.0,39.91904,-104.92548,Adams 12 Five Star Schools,441633.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,0,1,1,0,0
5305 E 108th Pl,Thornton,80233,4,2,1704,2418.0,39.893,-104.92445,Adams 12 Five Star Schools,406333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,1,0,0
9729 Detroit St,Thornton,80229,4,2,2022,2550.0,39.87234,-104.95237,Mapleton 1 School District,351600.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,0,1,0,1,0,0
10104 Hudson Ct,Thornton,80229,3,2,1415,2321.0,39.88089,-104.92287,Adams County 14 School District,366995.0,83.17,2.39,0.14,85.35,0.46,0.13,1.01,10.52,-5.56,79411.0,1,0,0,1,0,0
9836 Milwaukee St,Thornton,80229,4,2,1840,2574.0,39.87505,-104.95075,Mapleton 1 School District,404390.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,0,1,0,1,0,0
9954 Columbine St,Thornton,80229,5,2,2022,2510.0,39.87702,-104.95707,Mapleton 1 School District,455000.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,0,0,1,1,0,0
5252 E 111th Pl,Thornton,80233,3,2,2230,2850.0,39.89775,-104.92555,Adams 12 Five Star Schools,432966.67,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,1,0,0
12386 Roslyn Way,Thornton,80602,3,3,4198,3385.0,39.92025,-104.89972,Brighton 27J School District,669933.33,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,79411.0,1,0,0,0,1,0
12116 Grape St,Thornton,80241,4,3,1813,2390.0,39.91627,-104.92404,Adams 12 Five Star Schools,465333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,0,1,0
13340 Cherry Cir,Thornton,80241,4,4,2036,2735.0,39.938,-104.93421,Adams 12 Five Star Schools,457385.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,0,0,1
9074 Moon Cir,Thornton,80229,3,1,1140,2145.0,39.86093,-104.95744,Mapleton 1 School District,373564.95,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,1,0,0,0,0,0
5183 E 119th Way,Thornton,80233,3,3,1405,2600.0,39.91292,-104.92692,Adams 12 Five Star Schools,416633.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,0,1,0
11039 Grange Creek Dr,Thornton,80233,4,2,1885,2845.0,39.89594,-104.92393,Adams 12 Five Star Schools,414553.35,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,0,1,0,1,0,0
5202 E 119th Ct,Thornton,80233,3,3,1405,2429.0,39.91321,-104.92593,Adams 12 Five Star Schools,429015.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,0,1,0
12426 Dexter St,Thornton,80241,3,3,1549,2625.0,39.92233,-104.93305,Adams 12 Five Star Schools,383217.5,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,0,1,0
3663 E 133rd Ct,Thornton,80241,3,3,2240,2500.0,39.93676,-104.94433,Adams 12 Five Star Schools,505135.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,0,1,0
9764 Columbine Ct,Thornton,80229,4,2,1908,2665.0,39.87324,-104.95627,Mapleton 1 School District,405460.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,0,1,0,1,0,0
10062 Milwaukee St,Thornton,80229,3,3,1591,2545.0,39.87842,-104.95208,Mapleton 1 School District,405185.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,79411.0,1,0,0,0,1,0
16430 Race St,Thornton,80602,3,3,1672,2675.0,39.99459,-104.962,Adams 12 Five Star Schools,544649.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,79411.0,1,0,0,0,1,0
11120 Sylvan Pl,Parker,80138,3,2,1387,2549.0,39.51228,-104.74424,Douglas County RE 1 School District,516900.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,1,0,0
17739 Biscuit Root Dr,Parker,80134,4,3,1670,2178.0,39.55575,-104.78287,Douglas County RE 1 School District,405000.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,0,1,0,0,1,0
6243 Westview Cir,Parker,80134,5,3,2364,2737.0,39.4395,-104.77038,Douglas County RE 1 School District,516300.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,0,0,1,0,1,0
16823 Blue Mist Cir,Parker,80134,3,2,2176,2575.0,39.56166,-104.79365,Douglas County RE 1 School District,402000.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,1,0,0
12858 Capital Creek St,Parker,80134,3,3,2085,2814.0,39.48156,-104.77473,Douglas County RE 1 School District,502333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,1,0
8497 Wild Alfalfa Pl,Parker,80134,4,2,1668,2300.0,39.56277,-104.79805,Douglas County RE 1 School District,428333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,0,1,0,1,0,0
8485 Prairie Clover Way,Parker,80134,3,2,1576,2330.0,39.56301,-104.79547,Douglas County RE 1 School District,391333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,1,0,0
12586 Country Meadows Dr,Parker,80134,3,3,1548,2345.0,39.49641,-104.76361,Douglas County RE 1 School District,499966.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,1,0
11303 Haswell Ct,Parker,80134,4,3,1687,2595.0,39.51924,-104.78172,Douglas County RE 1 School District,574633.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,0,1,0,0,1,0
10414 Strasburg Way,Parker,80134,3,4,2104,2770.0,39.52784,-104.7872,Douglas County RE 1 School District,517655.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,0,1
10414 Strasburg Way,Parker,80134,3,4,2104,2686.0,39.52784,-104.7872,Douglas County RE 1 School District,517655.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,0,1
8661 Red Clover Ct,Parker,80134,3,2,1490,2446.0,39.55985,-104.79983,Douglas County RE 1 School District,459516.35,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,1,0,0
8736 Greengrass Way,Parker,80134,3,2,1471,2450.0,39.55807,-104.79421,Douglas County RE 1 School District,430000.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,1,0,0
8738 Snowbird Way,Parker,80134,3,3,1307,2380.0,39.55829,-104.79605,Douglas County RE 1 School District,388266.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,1,0
12757 S Red Rosa Cir,Parker,80134,3,3,2167,2890.0,39.485004,-104.783414,Douglas County RE 1 School District,610161.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,1,0,0,0,1,0
12831 Billingsley Trl,Parker,80134,4,3,1892,2732.0,39.482911,-104.787269,Douglas County RE 1 School District,527895.8,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,110936.0,0,1,0,0,1,0
11333 E Warren Ave,Aurora,80014,4,4,2944,2949.0,39.67681,-104.85519,Cherry Creek 5 School District,499005.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,0,0,1
11845 E Kepner Dr,Aurora,80012,2,3,1064,2095.0,39.69852,-104.85037,Cherry Creek 5 School District,347966.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,0,0,0,1,0
12156 E Louisiana Dr,Aurora,80012,4,3,2625,2645.0,39.69204,-104.84547,Adams-Arapahoe 28J School District,455000.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,0,1,0
1307 S Biscay St,Aurora,80017,3,2,1100,2129.0,39.69217,-104.76876,Adams-Arapahoe 28J School District,339359.65,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,1,0,0,1,0,0
1441 S Cathay St,Aurora,80017,3,2,1192,2197.0,39.68851,-104.76623,Adams-Arapahoe 28J School District,351990.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,1,0,0,1,0,0
14705 E Harvard Ave,Aurora,80014,3,2,1327,2358.0,39.67106,-104.81664,Adams-Arapahoe 28J School District,415333.33,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,1,0,0,1,0,0
15381 E Arkansas Pl,Aurora,80017,3,2,1296,2200.0,39.69101,-104.80859,Adams-Arapahoe 28J School District,316666.67,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,1,0,0,1,0,0
1597 S Uvalda St,Aurora,80012,4,2,1976,2604.0,39.68714,-104.83808,Adams-Arapahoe 28J School District,393300.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,1,0,0
17486 E Temple Dr,Aurora,80015,3,2,1200,2256.0,39.63158,-104.78496,Cherry Creek 5 School District,380232.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
17766 E Arizona Ave,Aurora,80017,3,2,888,2350.0,39.6935,-104.77965,Adams-Arapahoe 28J School District,347684.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,1,0,0,1,0,0
18290 E Hampden Pl,Aurora,80013,5,4,2900,3095.0,39.65272,-104.77647,Cherry Creek 5 School District,426600.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,0,1,0,0,1
18524 E Layton Pl,Aurora,80015,5,2,1736,2845.0,39.62718,-104.77315,Cherry Creek 5 School District,377333.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,0,1,1,0,0
18753 E Utah Cir,Aurora,80017,4,3,1622,2550.0,39.68331,-104.76979,Adams-Arapahoe 28J School District,381666.67,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,0,1,0
19176 E Oberlin Dr,Aurora,80013,3,2,1800,2350.0,39.64047,-104.76544,Cherry Creek 5 School District,405270.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
19176 E Oberlin Dr,Aurora,80013,3,2,1800,2545.0,39.64047,-104.76544,Cherry Creek 5 School District,392966.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
