address,city,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,value,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
1257 Bluejay Ave,Brighton,80601,3,2,1110,2179.0,39.9706,-104.83725,Brighton 27J School District,381845.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,75355.0,1,0,0,1,0,0
1320 Bluebird St,Brighton,80601,3,2,1470,2246.0,39.96678,-104.83774,Brighton 27J School District,386333.33,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,75355.0,1,0,0,1,0,0
1361 Mallard Ln,Brighton,80601,3,2,1470,2275.0,39.97163,-104.8379,Brighton 27J School District,325000.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,75355.0,1,0,0,1,0,0
1492 Hummingbird Cir,Brighton,80601,3,2,1488,2214.0,39.96676,-104.8392,Brighton 27J School District,393685.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,75355.0,1,0,0,1,0,0
1205 Bluebird St,Brighton,80601,3,2,1470,2325.0,39.9696,-104.83738,Brighton 27J School District,401666.67,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06,75355.0,1,0,0,1,0,0
12193 Monaco Dr,Brighton,80602,3,2,1809,2500.0,39.91704,-104.91232,Adams 12 Five Star Schools,434475.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,75355.0,1,0,0,1,0,0
13358 Birch Cir,Denver,80241,3,3,1890,2600.0,39.93781,-104.93588,Adams 12 Five Star Schools,451935.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,1,0,0,0,1,0
4323 Nepal St,Denver,80249,4,2,1740,2335.0,39.77612,-104.74077,Denver County 1 School District,363333.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
4810 Flanders Way,Denver,80249,4,3,1858,2350.0,39.78436,-104.76084,Denver County 1 School District,462966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
527 Leona Dr,Denver,80221,3,3,1188,2425.0,39.84392,-104.99356,Adams 12 Five Star Schools,471616.67,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,1,0,0,0,1,0
4139 Orleans St,Denver,80249,2,3,1400,2249.0,39.77396,-104.73851,Denver County 1 School District,364716.75,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,1,0
4926 Fraser Way,Denver,80239,4,3,2587,2831.0,39.78129,-104.81126,Denver County 1 School District,431933.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
4338 Deephaven Ct,Denver,80239,4,3,2247,2725.0,39.77565,-104.82321,Denver County 1 School District,410999.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
8610 Ogden St,Denver,80229,3,3,2528,2745.0,39.85345,-104.97501,Adams 12 Five Star Schools,330000.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,1,0,0,0,1,0
5174 Sable St,Denver,80239,4,2,1395,2342.0,39.78804,-104.82032,Denver County 1 School District,359666.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
18868 E 52nd Ave,Denver,80249,2,3,1524,2451.0,39.79129,-104.76729,Denver County 1 School District,417966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,1,0
10017 Beach St,Denver,80260,3,2,1320,2330.0,39.87954,-105.01733,Adams 12 Five Star Schools,408633.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,1,0,0,1,0,0
2361 Stacy Dr,Denver,80221,3,2,1650,2350.0,39.84679,-105.01484,Westminster 50 School District,255780.0,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,1,0,0
2361 Stacy Dr,Denver,80221,3,2,1650,2310.0,39.84679,-105.01484,Westminster 50 School District,266633.33,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,1,0,0
4672 Biscay St,Denver,80249,4,3,2028,2600.0,39.78063,-104.76357,Denver County 1 School District,383633.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
11644 Community Center Dr Unit # 126,Denver,80233,4,3,2130,2420.0,39.90763,-104.98418,Adams 12 Five Star Schools,323333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,0,1,0,0,1,0
1360 S Tejon St,Denver,80223,3,2,1887,2880.0,39.692,-105.01143,Denver County 1 School District,439666.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
4326 Wyandot St,Denver,80211,3,2,1752,2850.0,39.776,-105.01437,Denver County 1 School District,684333.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
4751 Carson St,Denver,80239,2,1,1513,2085.0,39.78123,-104.83142,Denver County 1 School District,411666.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
5188 Duluth Ct,Denver,80239,4,2,1576,2305.0,39.78765,-104.8184,Denver County 1 School District,365966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
5564 Worchester St,Denver,80239,3,2,1680,2375.0,39.79604,-104.83049,Denver County 1 School District,404000.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
21480 E 44th Ave,Denver,80249,3,3,1876,2704.0,39.77735,-104.73886,Denver County 1 School District,414933.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
2280 Mable Ave,Denver,80229,3,1,2450,2195.0,39.84991,-104.9599,Mapleton 1 School District,385000.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,68592.0,1,0,0,0,0,0
301 S Leyden St,Denver,80224,3,2,1881,2645.0,39.71014,-104.91557,Denver County 1 School District,616895.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
19743 E 49th Ave,Denver,80249,2,3,1524,2395.0,39.78557,-104.75974,Denver County 1 School District,477966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,1,0
4702 Orleans St,Denver,80249,3,3,1709,2490.0,39.7814,-104.73679,Denver County 1 School District,358300.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3625 Fairfax St,Denver,80207,3,2,1355,2365.0,39.76798,-104.92849,Denver County 1 School District,550100.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
3690 Magnolia St,Denver,80207,3,1,1544,2165.0,39.76843,-104.91145,Denver County 1 School District,489966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
4642 Malaya St,Denver,80249,3,2,1610,2285.0,39.78064,-104.74189,Denver County 1 School District,381666.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
21103 E 45th Ave,Denver,80249,3,2,1677,2296.0,39.77863,-104.74134,Denver County 1 School District,385000.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
4509 Andes St,Denver,80249,3,3,1650,2460.0,39.77975,-104.77171,Denver County 1 School District,359633.33,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
4558 Biscay St,Denver,80249,3,2,1799,2385.0,39.7791,-104.76667,Denver County 1 School District,412966.67,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
5120 Troy St,Denver,80239,3,2,1864,2525.0,39.78991,-104.84171,Denver County 1 School District,384000.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
5120 Troy St,Denver,80239,3,2,1864,2300.0,39.78991,-104.84171,Denver County 1 School District,383540.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
19929 E 47th Dr,Denver,80249,3,3,1754,2567.0,39.78309,-104.75736,Denver County 1 School District,409705.9,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
1965 Rosemary St,Denver,80220,3,2,1463,2585.0,39.74659,-104.90021,Denver County 1 School District,487900.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
19751 E Bellewood Dr,Centennial,80015,4,3,2307,2900.0,39.62529,-104.75812,Cherry Creek 5 School District,429130.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,1,0,0,1,0
4331 S Fundy St,Centennial,80015,4,2,1816,2650.0,39.63676,-104.75775,Cherry Creek 5 School District,443298.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,1,0,1,0,0
5374 S Telluride Way,Centennial,80015,4,3,2145,2628.0,39.61956,-104.78224,Cherry Creek 5 School District,463300.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,1,0,0,1,0
5710 S Quatar Cir,Centennial,80015,3,2,1361,2207.0,39.61232,-104.73445,Cherry Creek 5 School District,455800.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,1,0,0,1,0,0
5842 S Orleans Way,Centennial,80015,3,2,1431,2500.0,39.61056,-104.73639,Cherry Creek 5 School District,451666.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,1,0,0,1,0,0
5431 S Genoa St,Centennial,80015,4,4,2185,2800.0,39.617647,-104.757882,Cherry Creek 5 School District,504880.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,1,0,0,0,1
5722 S Netherland St,Centennial,80015,5,2,2314,2810.0,39.61273,-104.73871,Cherry Creek 5 School District,437704.95,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,0,1,1,0,0
5770 S Orleans St,Centennial,80015,4,2,1858,2742.0,39.61092,-104.73749,Cherry Creek 5 School District,432964.95,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,0,1,0,1,0,0
6486 S Dexter St,Centennial,80121,5,2,2028,2849.0,39.59963,-104.93205,Littleton 6 School District,501260.0,20.79,1.46,2.42,19.47,0.35,0.15,4.69,71.45,-15.7,109324.0,0,0,1,1,0,0
5558 S Ireland Way,Centennial,80015,3,3,1846,2610.0,39.61577,-104.75141,Cherry Creek 5 School District,445810.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,109324.0,1,0,0,0,1,0
5406 Iris St,Arvada,80002,4,2,1373,2525.0,39.79535,-105.10547,Jefferson County R-1 School District,498000.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,0,1,0,1,0,0
5631 W 71st Cir,Arvada,80003,4,3,1502,2913.0,39.826,-105.06,Jefferson County R-1 School District,482666.67,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,0,1,0,0,1,0
7178 Urban St,Arvada,80004,3,2,1824,2585.0,39.826,-105.135,Jefferson County R-1 School District,521565.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,1,0,0,1,0,0
7178 Urban St,Arvada,80004,3,2,1824,2645.0,39.826,-105.135,Jefferson County R-1 School District,521565.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,1,0,0,1,0,0
13420 W 73rd Ave,Arvada,80005,3,3,2267,3220.0,39.8295,-105.14905,Jefferson County R-1 School District,571633.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,1,0,0,0,1,0
7375 Braun Way,Arvada,80005,3,3,1967,2845.0,39.83056,-105.15157,Jefferson County R-1 School District,564633.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,1,0,0,0,1,0
8277 Quay Ct,Arvada,80003,4,3,2032,2645.0,39.846,-105.073,Jefferson County R-1 School District,473730.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,0,1,0,0,1,0
8697 W 86th Cir,Arvada,80005,4,2,924,2340.0,39.854,-105.09,Jefferson County R-1 School District,411633.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,84717.0,0,1,0,1,0,0
4981 N Silverlace Dr,Castle Rock,80109,3,3,2108,2610.0,39.4109,-104.89674,Douglas County RE 1 School District,456633.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,109700.0,1,0,0,0,1,0
3922 Licorice Ct,Castle Rock,80109,3,3,2151,2788.0,39.41599,-104.90481,Douglas County RE 1 School District,449999.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,109700.0,1,0,0,0,1,0
3922 Licorice Ct,Castle Rock,80109,3,3,2151,2895.0,39.41599,-104.90481,Douglas County RE 1 School District,504974.95,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,109700.0,1,0,0,0,1,0
3591 Morning Glory Dr,Castle Rock,80109,3,3,2172,2768.0,39.41661,-104.89987,Douglas County RE 1 School District,473333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,109700.0,1,0,0,0,1,0
9809 Castle Ridge Cir,Highlands Ranch,80129,4,3,1838,2765.0,39.53929,-105.01939,Douglas County RE 1 School District,496666.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,125454.0,0,1,0,0,1,0
6362 Freeport Dr,Highlands Ranch,80130,3,2,1882,2595.0,39.55345,-104.9152,Douglas County RE 1 School District,494333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,125454.0,1,0,0,1,0,0
11027 Chesmore St,Highlands Ranch,80130,3,3,2626,2925.0,39.51553,-104.94105,Douglas County RE 1 School District,665966.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,125454.0,1,0,0,0,1,0
9499 Sherrelwood Ln,Highlands Ranch,80126,4,3,2049,2650.0,39.54443,-104.97537,Douglas County RE 1 School District,551633.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,125454.0,0,1,0,0,1,0
9051 Bermuda Run Cir,Highlands Ranch,80130,3,2,1322,2450.0,39.55173,-104.91204,Douglas County RE 1 School District,457966.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,125454.0,1,0,0,1,0,0
1360 S Kendall St,Lakewood,80232,3,2,1820,2568.0,39.693,-105.065,Jefferson County R-1 School District,466600.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,66740.0,1,0,0,1,0,0
1840 S Welch Cir,Lakewood,80228,4,3,1955,3175.0,39.684,-105.145,Jefferson County R-1 School District,573790.65,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,66740.0,0,1,0,0,1,0
1670 S Allison St,Lakewood,80232,3,2,1860,2899.0,39.68662,-105.08608,Jefferson County R-1 School District,423570.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,66740.0,1,0,0,1,0,0
7279 Dome Rock Rd,Littleton,80125,3,2,1897,2866.0,39.46731,-105.07512,Douglas County RE 1 School District,579966.67,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,76015.0,1,0,0,1,0,0
5361 S Hickory St,Littleton,80120,4,2,2250,2700.0,39.61946,-105.00021,Littleton 6 School District,468333.33,20.79,1.46,2.42,19.47,0.35,0.15,4.69,71.45,-15.7,76015.0,0,1,0,1,0,0
9735 Garwood St,Littleton,80125,3,3,1327,2100.0,39.47512,-105.06784,Douglas County RE 1 School District,418333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,76015.0,1,0,0,0,1,0
13115 Mercury Dr,Littleton,80124,3,2,1769,2599.0,39.55175,-104.89382,Douglas County RE 1 School District,474000.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,76015.0,1,0,0,1,0,0
5677 S Oak St,Littleton,80127,4,2,1808,2700.0,39.613,-105.12,Jefferson County R-1 School District,503333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76015.0,0,1,0,1,0,0
9343 W Capri Ave,Littleton,80123,4,3,1893,2645.0,39.6064,-105.1029,Jefferson County R-1 School District,472282.3,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76015.0,0,1,0,0,1,0
8922 W Radcliffe Pl,Littleton,80123,3,2,2026,2231.0,39.63617,-105.09708,Jefferson County R-1 School District,493885.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76015.0,1,0,0,1,0,0
8922 W Radcliffe Pl,Littleton,80123,3,2,2026,2600.0,39.63617,-105.09708,Jefferson County R-1 School District,493885.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76015.0,1,0,0,1,0,0
10277 Dusk Way,Littleton,80125,4,3,2100,2765.0,39.4743,-105.07861,Douglas County RE 1 School District,479039.95,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,76015.0,0,1,0,0,1,0
11798 W Marlowe Ave,Golden,80465,4,3,2404,2900.0,39.632,-105.129,Jefferson County R-1 School District,429937.5,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,1,0,0,1,0
11798 W Marlowe Ave,Golden,80465,4,3,2404,2933.0,39.632,-105.129,Jefferson County R-1 School District,405000.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,1,0,0,1,0
7407 Shoreham Dr,Castle Pines,80108,4,3,3528,3431.0,39.47021,-104.89244,Douglas County RE 1 School District,633333.33,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,163819.0,0,1,0,0,1,0
7407 Shoreham Dr,Castle Pines,80108,4,3,3528,3595.0,39.47021,-104.89244,Douglas County RE 1 School District,633129.35,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24,163819.0,0,1,0,0,1,0
176 Monares Ln,Erie,80516,5,4,2645,2899.0,40.04116,-105.0387,St. Vrain Valley RE 1J School District,454666.67,9.26,0.88,3.58,12.23,0.21,0.07,2.97,80.07,11.8,119555.0,0,0,1,0,0,1
240 Bonanza Dr,Erie,80516,4,3,1997,2915.0,40.00396,-105.03676,St. Vrain Valley RE 1J School District,676633.33,9.26,0.88,3.58,12.23,0.21,0.07,2.97,80.07,11.8,119555.0,0,1,0,0,1,0
2668 Calkins Pl,Broomfield,80020,3,4,1974,2585.0,39.92654,-105.01928,Adams 12 Five Star Schools,481459.5,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,96416.0,1,0,0,0,0,1
3280 Queen Ct,Broomfield,80020,3,3,1739,2525.0,39.92959,-105.02897,Adams 12 Five Star Schools,438333.33,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,96416.0,1,0,0,0,1,0
